sampleID,sample.mass,d15N,d13C,Amt.N,per.N,Amt.C,per.C,Date Collected,Total Length,Sex,Collection Site
Onerka_LWA_35,0.425,12.379125,-21.81193221,0.060591465,0.142568152,0.21908407,0.515491929,10/9/22,570,M,Sammamish River
Onerka_LWA_36,0.47,11.500125,-22.07057635,0.068620933,0.146001986,0.227036846,0.48305712,10/10/22,575,M,Sammamish River
Onerka_LWA_37,0.472,11.956125,-21.8983963,0.057665568,0.122172813,0.211236601,0.447535172,10/19/22,na,na,Sammamish River
Onerka_LWA_39,0.44,12.342125,-21.88105998,0.057992697,0.131801585,0.217536853,0.494401938,10/16/22,na,na,Sammamish River
Onerka_LWA_40,0.469,11.577125,-22.99287759,0.060636706,0.129289352,0.243975227,0.520203043,10/9/22,550,F,Sammamish River
Onerka_LWA_41,0.457,11.999125,-22.0921448,0.062562073,0.136897316,0.249593002,0.546155366,10/20/22,na,na,Sammamish River
Onerka_LWA_42,0.489,11.387125,-22.05315783,0.07556287,0.154525296,0.255397091,0.52228444,10/20/22,na,na,LB
Onerka_LWA_43,0.402,11.286125,-24.8369964,0.038861699,0.096670892,0.210602728,0.523887384,10/22/22,na,na,LB
Onerka-LWA_44,0.499,11.594125,-24.22562771,0.063563473,0.12738171,0.303822553,0.608862832,10/19/22,na,na,Sammamish River
,,,,,,,,,,,
,,,,,,,,,,,
